state,game,year,status,reason,returncode,command,stdout_tail,stderr_tail
GA,pick3,2012,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state GA --game pick3 --start 2012-01-01 --end 2012-12-31 --source lottery.net,"Initializing database...

Ingest: state=GA game=pick3 source=lottery.net 2012-01-01..2012-12-31

--- Ingest Summary ---
  Tasks run:            3
  Raw results fetched:  727
  Observations written: 727
  Reconcile — accepted:         727
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 19:29:29 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/night  2012/04  [cash-3-night]
2026-04-12 19:29:29 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2012/05
2026-04-12 19:29:29 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/night  2012/05  [cash-3-night]
2026-04-12 19:29:29 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2012/06
2026-04-12 19:29:29 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/night  2012/06  [cash-3-night]
2026-04-12 19:29:29 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2012/07
2026-04-12 19:29:29 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/night  2012/07  [cash-3-night]
2026-04-12 19:29:29 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2012/08
2026-04-12 19:29:29 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/night  2012/08  [cash-3-night]
2026-04-12 19:29:29 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2012/09
2026-04-12 19:29:29 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/night  2012/09  [cash-3-night]
2026-04-12 19:29:29 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2012/10
2026-04-12 19:29:29 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/night  2012/10  [cash-3-night]
2026-04-12 19:29:29 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2012/11
2026-04-12 19:29:29 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/night  2012/11  [cash-3-night]
2026-04-12 19:29:29 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick3 | 2012/12
2026-04-12 19:29:29 INFO     sources.lottery_net:   lottery.net: 0 rows  GA/pick3/night  2012/12  [cash-3-night]
2026-04-12 19:29:29 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 19:29:29 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 727, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 19:29:29 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 3, 'raw_results': 727, 'observations_written': 727, 'reconcile_stats': {'accepted': 727, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
GA,pick4,2012,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state GA --game pick4 --start 2012-01-01 --end 2012-12-31 --source lottery.net,"Initializing database...

Ingest: state=GA game=pick4 source=lottery.net 2012-01-01..2012-12-31

--- Ingest Summary ---
  Tasks run:            3
  Raw results fetched:  726
  Observations written: 726
  Reconcile — accepted:         726
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 19:29:33 INFO     sources.lottery_net:   lottery.net: 30 rows  GA/pick4/night  2012/04  [cash-4-night]
2026-04-12 19:29:33 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2012/05
2026-04-12 19:29:33 INFO     sources.lottery_net:   lottery.net: 28 rows  GA/pick4/night  2012/05  [cash-4-night]
2026-04-12 19:29:33 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2012/06
2026-04-12 19:29:33 INFO     sources.lottery_net:   lottery.net: 29 rows  GA/pick4/night  2012/06  [cash-4-night]
2026-04-12 19:29:33 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2012/07
2026-04-12 19:29:33 INFO     sources.lottery_net:   lottery.net: 31 rows  GA/pick4/night  2012/07  [cash-4-night]
2026-04-12 19:29:33 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2012/08
2026-04-12 19:29:33 INFO     sources.lottery_net:   lottery.net: 31 rows  GA/pick4/night  2012/08  [cash-4-night]
2026-04-12 19:29:33 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2012/09
2026-04-12 19:29:33 INFO     sources.lottery_net:   lottery.net: 30 rows  GA/pick4/night  2012/09  [cash-4-night]
2026-04-12 19:29:33 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2012/10
2026-04-12 19:29:33 INFO     sources.lottery_net:   lottery.net: 31 rows  GA/pick4/night  2012/10  [cash-4-night]
2026-04-12 19:29:33 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2012/11
2026-04-12 19:29:33 INFO     sources.lottery_net:   lottery.net: 30 rows  GA/pick4/night  2012/11  [cash-4-night]
2026-04-12 19:29:33 INFO     sources.base: Fetching SourceName.LOTTERY_NET | GA | pick4 | 2012/12
2026-04-12 19:29:33 INFO     sources.lottery_net:   lottery.net: 31 rows  GA/pick4/night  2012/12  [cash-4-night]
2026-04-12 19:29:34 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 19:29:34 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 726, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 19:29:34 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 3, 'raw_results': 726, 'observations_written': 726, 'reconcile_stats': {'accepted': 726, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
TX,pick3,2012,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state TX --game pick3 --start 2012-01-01 --end 2012-12-31 --source lottery.net,"Initializing database...

Ingest: state=TX game=pick3 source=lottery.net 2012-01-01..2012-12-31

--- Ingest Summary ---
  Tasks run:            4
  Raw results fetched:  623
  Observations written: 623
  Reconcile — accepted:         623
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 19:29:40 INFO     sources.lottery_net:   lottery.net: 25 rows  TX/pick3/night  2012/04  [pick-3-night]
2026-04-12 19:29:40 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2012/05
2026-04-12 19:29:40 INFO     sources.lottery_net:   lottery.net: 25 rows  TX/pick3/night  2012/05  [pick-3-night]
2026-04-12 19:29:40 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2012/06
2026-04-12 19:29:40 INFO     sources.lottery_net:   lottery.net: 26 rows  TX/pick3/night  2012/06  [pick-3-night]
2026-04-12 19:29:40 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2012/07
2026-04-12 19:29:40 INFO     sources.lottery_net:   lottery.net: 26 rows  TX/pick3/night  2012/07  [pick-3-night]
2026-04-12 19:29:40 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2012/08
2026-04-12 19:29:40 INFO     sources.lottery_net:   lottery.net: 27 rows  TX/pick3/night  2012/08  [pick-3-night]
2026-04-12 19:29:40 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2012/09
2026-04-12 19:29:40 INFO     sources.lottery_net:   lottery.net: 25 rows  TX/pick3/night  2012/09  [pick-3-night]
2026-04-12 19:29:40 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2012/10
2026-04-12 19:29:40 INFO     sources.lottery_net:   lottery.net: 27 rows  TX/pick3/night  2012/10  [pick-3-night]
2026-04-12 19:29:40 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2012/11
2026-04-12 19:29:40 INFO     sources.lottery_net:   lottery.net: 26 rows  TX/pick3/night  2012/11  [pick-3-night]
2026-04-12 19:29:40 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick3 | 2012/12
2026-04-12 19:29:40 INFO     sources.lottery_net:   lottery.net: 26 rows  TX/pick3/night  2012/12  [pick-3-night]
2026-04-12 19:29:40 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 19:29:40 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 623, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 19:29:40 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 4, 'raw_results': 623, 'observations_written': 623, 'reconcile_stats': {'accepted': 623, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
TX,pick4,2012,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state TX --game pick4 --start 2012-01-01 --end 2012-12-31 --source lottery.net,"Initializing database...

Ingest: state=TX game=pick4 source=lottery.net 2012-01-01..2012-12-31

--- Ingest Summary ---
  Tasks run:            4
  Raw results fetched:  623
  Observations written: 623
  Reconcile — accepted:         623
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 19:29:45 INFO     sources.lottery_net:   lottery.net: 25 rows  TX/pick4/night  2012/04  [daily-4-night]
2026-04-12 19:29:45 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2012/05
2026-04-12 19:29:45 INFO     sources.lottery_net:   lottery.net: 25 rows  TX/pick4/night  2012/05  [daily-4-night]
2026-04-12 19:29:45 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2012/06
2026-04-12 19:29:45 INFO     sources.lottery_net:   lottery.net: 26 rows  TX/pick4/night  2012/06  [daily-4-night]
2026-04-12 19:29:45 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2012/07
2026-04-12 19:29:45 INFO     sources.lottery_net:   lottery.net: 26 rows  TX/pick4/night  2012/07  [daily-4-night]
2026-04-12 19:29:45 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2012/08
2026-04-12 19:29:45 INFO     sources.lottery_net:   lottery.net: 27 rows  TX/pick4/night  2012/08  [daily-4-night]
2026-04-12 19:29:45 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2012/09
2026-04-12 19:29:45 INFO     sources.lottery_net:   lottery.net: 25 rows  TX/pick4/night  2012/09  [daily-4-night]
2026-04-12 19:29:45 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2012/10
2026-04-12 19:29:45 INFO     sources.lottery_net:   lottery.net: 27 rows  TX/pick4/night  2012/10  [daily-4-night]
2026-04-12 19:29:45 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2012/11
2026-04-12 19:29:45 INFO     sources.lottery_net:   lottery.net: 26 rows  TX/pick4/night  2012/11  [daily-4-night]
2026-04-12 19:29:45 INFO     sources.base: Fetching SourceName.LOTTERY_NET | TX | pick4 | 2012/12
2026-04-12 19:29:45 INFO     sources.lottery_net:   lottery.net: 26 rows  TX/pick4/night  2012/12  [daily-4-night]
2026-04-12 19:29:45 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 19:29:45 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 623, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 19:29:46 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 4, 'raw_results': 623, 'observations_written': 623, 'reconcile_stats': {'accepted': 623, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
OR,pick3,2012,skipped,unsupported_state_game_combo,0,preset-skip,,
OR,pick4,2012,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state OR --game pick4 --start 2012-01-01 --end 2012-12-31 --source lottery.net,"Initializing database...

Ingest: state=OR game=pick4 source=lottery.net 2012-01-01..2012-12-31

--- Ingest Summary ---
  Tasks run:            4
  Raw results fetched:  1464
  Observations written: 1464
  Reconcile — accepted:         1464
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 19:29:51 INFO     sources.lottery_net:   lottery.net: 30 rows  OR/pick4/night  2012/04  [pick-4-10pm]
2026-04-12 19:29:51 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2012/05
2026-04-12 19:29:51 INFO     sources.lottery_net:   lottery.net: 31 rows  OR/pick4/night  2012/05  [pick-4-10pm]
2026-04-12 19:29:51 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2012/06
2026-04-12 19:29:51 INFO     sources.lottery_net:   lottery.net: 30 rows  OR/pick4/night  2012/06  [pick-4-10pm]
2026-04-12 19:29:51 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2012/07
2026-04-12 19:29:51 INFO     sources.lottery_net:   lottery.net: 31 rows  OR/pick4/night  2012/07  [pick-4-10pm]
2026-04-12 19:29:51 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2012/08
2026-04-12 19:29:51 INFO     sources.lottery_net:   lottery.net: 31 rows  OR/pick4/night  2012/08  [pick-4-10pm]
2026-04-12 19:29:51 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2012/09
2026-04-12 19:29:51 INFO     sources.lottery_net:   lottery.net: 30 rows  OR/pick4/night  2012/09  [pick-4-10pm]
2026-04-12 19:29:51 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2012/10
2026-04-12 19:29:51 INFO     sources.lottery_net:   lottery.net: 31 rows  OR/pick4/night  2012/10  [pick-4-10pm]
2026-04-12 19:29:51 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2012/11
2026-04-12 19:29:51 INFO     sources.lottery_net:   lottery.net: 30 rows  OR/pick4/night  2012/11  [pick-4-10pm]
2026-04-12 19:29:51 INFO     sources.base: Fetching SourceName.LOTTERY_NET | OR | pick4 | 2012/12
2026-04-12 19:29:51 INFO     sources.lottery_net:   lottery.net: 31 rows  OR/pick4/night  2012/12  [pick-4-10pm]
2026-04-12 19:29:51 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 19:29:52 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 1464, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 19:29:52 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 4, 'raw_results': 1464, 'observations_written': 1464, 'reconcile_stats': {'accepted': 1464, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
DC,pick3,2012,skipped,unsupported_registry_missing,1,/workspaces/lottery-engine/.venv/bin/python -m cli.validate_state --state DC --game pick3 --month 2012-01 --source lottery.net --dry-run,"  ⚠ Slugs: ESTIMATED — verify before backfill  WARN
    6/6 mappings are ESTIMATED (unconfirmed on live site).
      check → https://www.lottery.net/district-of-columbia/dc-3-midday/results/2024
      check → https://www.lottery.net/district-of-columbia/dc-3-evening/results/2024
      check → https://www.lottery.net/district-of-columbia/dc-3-night/results/2024
      Run: python -m cli.validate_state --state DC --game pick3 --month 2012-01 --source lottery.net --dry-run
  – Registry metadata                          SKIP
    REGISTRY_META not found in definition file

  ↳ WARN  (1 warning(s))

── 2. URL planning ──
  ✗ URL generation                             FAIL
    No tasks generated. Check lifecycle windows and source coverage years.
  ↳ FAIL  (1 check(s) failed)

══════════════════════════════════════════════════════════════
  RESULT: FAIL  (1 failure(s), 1 warning(s))
══════════════════════════════════════════════════════════════
  STATE=DC  GAME=pick3  MONTH=2012-01  SOURCE=lottery.net  RESULT=FAIL  REASON=""URL generation: No tasks generated. Check lifecycle windows and source coverage """,
DC,pick4,2012,skipped,unsupported_registry_missing,1,/workspaces/lottery-engine/.venv/bin/python -m cli.validate_state --state DC --game pick4 --month 2012-01 --source lottery.net --dry-run,"  ⚠ Slugs: ESTIMATED — verify before backfill  WARN
    6/6 mappings are ESTIMATED (unconfirmed on live site).
      check → https://www.lottery.net/district-of-columbia/dc-3-midday/results/2024
      check → https://www.lottery.net/district-of-columbia/dc-3-evening/results/2024
      check → https://www.lottery.net/district-of-columbia/dc-3-night/results/2024
      Run: python -m cli.validate_state --state DC --game pick4 --month 2012-01 --source lottery.net --dry-run
  – Registry metadata                          SKIP
    REGISTRY_META not found in definition file

  ↳ WARN  (1 warning(s))

── 2. URL planning ──
  ✗ URL generation                             FAIL
    No tasks generated. Check lifecycle windows and source coverage years.
  ↳ FAIL  (1 check(s) failed)

══════════════════════════════════════════════════════════════
  RESULT: FAIL  (1 failure(s), 1 warning(s))
══════════════════════════════════════════════════════════════
  STATE=DC  GAME=pick4  MONTH=2012-01  SOURCE=lottery.net  RESULT=FAIL  REASON=""URL generation: No tasks generated. Check lifecycle windows and source coverage """,
FL,pick3,2012,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state FL --game pick3 --start 2012-01-01 --end 2012-12-31 --source lottery.net,"Initializing database...

Ingest: state=FL game=pick3 source=lottery.net 2012-01-01..2012-12-31

--- Ingest Summary ---
  Tasks run:            2
  Raw results fetched:  727
  Observations written: 727
  Reconcile — accepted:         727
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 19:29:56 INFO     sources.lottery_net:   lottery.net: 30 rows  FL/pick3/midday  2012/04  [pick-3-midday]
2026-04-12 19:29:56 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2012/05
2026-04-12 19:29:56 INFO     sources.lottery_net:   lottery.net: 29 rows  FL/pick3/midday  2012/05  [pick-3-midday]
2026-04-12 19:29:56 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2012/06
2026-04-12 19:29:56 INFO     sources.lottery_net:   lottery.net: 30 rows  FL/pick3/midday  2012/06  [pick-3-midday]
2026-04-12 19:29:56 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2012/07
2026-04-12 19:29:56 INFO     sources.lottery_net:   lottery.net: 31 rows  FL/pick3/midday  2012/07  [pick-3-midday]
2026-04-12 19:29:56 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2012/08
2026-04-12 19:29:56 INFO     sources.lottery_net:   lottery.net: 31 rows  FL/pick3/midday  2012/08  [pick-3-midday]
2026-04-12 19:29:56 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2012/09
2026-04-12 19:29:56 INFO     sources.lottery_net:   lottery.net: 30 rows  FL/pick3/midday  2012/09  [pick-3-midday]
2026-04-12 19:29:56 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2012/10
2026-04-12 19:29:56 INFO     sources.lottery_net:   lottery.net: 31 rows  FL/pick3/midday  2012/10  [pick-3-midday]
2026-04-12 19:29:56 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2012/11
2026-04-12 19:29:56 INFO     sources.lottery_net:   lottery.net: 30 rows  FL/pick3/midday  2012/11  [pick-3-midday]
2026-04-12 19:29:56 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick3 | 2012/12
2026-04-12 19:29:56 INFO     sources.lottery_net:   lottery.net: 31 rows  FL/pick3/midday  2012/12  [pick-3-midday]
2026-04-12 19:29:56 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 19:29:57 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 727, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 19:29:57 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 2, 'raw_results': 727, 'observations_written': 727, 'reconcile_stats': {'accepted': 727, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
FL,pick4,2012,ingested,ingest_success,0,/workspaces/lottery-engine/.venv/bin/python -m cli.ingest --state FL --game pick4 --start 2012-01-01 --end 2012-12-31 --source lottery.net,"Initializing database...

Ingest: state=FL game=pick4 source=lottery.net 2012-01-01..2012-12-31

--- Ingest Summary ---
  Tasks run:            2
  Raw results fetched:  727
  Observations written: 727
  Reconcile — accepted:         727
  Reconcile — duplicate:        0
  Reconcile — conflict (new):   0
  Reconcile — conflict (kept):  0
  Reconcile — errors:           0","2026-04-12 19:29:59 INFO     sources.lottery_net:   lottery.net: 30 rows  FL/pick4/midday  2012/04  [pick-4-midday]
2026-04-12 19:29:59 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2012/05
2026-04-12 19:29:59 INFO     sources.lottery_net:   lottery.net: 29 rows  FL/pick4/midday  2012/05  [pick-4-midday]
2026-04-12 19:29:59 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2012/06
2026-04-12 19:29:59 INFO     sources.lottery_net:   lottery.net: 30 rows  FL/pick4/midday  2012/06  [pick-4-midday]
2026-04-12 19:29:59 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2012/07
2026-04-12 19:29:59 INFO     sources.lottery_net:   lottery.net: 31 rows  FL/pick4/midday  2012/07  [pick-4-midday]
2026-04-12 19:29:59 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2012/08
2026-04-12 19:29:59 INFO     sources.lottery_net:   lottery.net: 31 rows  FL/pick4/midday  2012/08  [pick-4-midday]
2026-04-12 19:29:59 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2012/09
2026-04-12 19:29:59 INFO     sources.lottery_net:   lottery.net: 30 rows  FL/pick4/midday  2012/09  [pick-4-midday]
2026-04-12 19:29:59 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2012/10
2026-04-12 19:29:59 INFO     sources.lottery_net:   lottery.net: 31 rows  FL/pick4/midday  2012/10  [pick-4-midday]
2026-04-12 19:29:59 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2012/11
2026-04-12 19:29:59 INFO     sources.lottery_net:   lottery.net: 30 rows  FL/pick4/midday  2012/11  [pick-4-midday]
2026-04-12 19:29:59 INFO     sources.base: Fetching SourceName.LOTTERY_NET | FL | pick4 | 2012/12
2026-04-12 19:29:59 INFO     sources.lottery_net:   lottery.net: 31 rows  FL/pick4/midday  2012/12  [pick-4-midday]
2026-04-12 19:29:59 INFO     orchestrator.runner: Running reconciliation...
2026-04-12 19:30:00 INFO     orchestrator.reconciler: Reconciliation complete: {'accepted': 727, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}
2026-04-12 19:30:00 INFO     orchestrator.runner: Ingest complete: {'tasks_run': 2, 'raw_results': 727, 'observations_written': 727, 'reconcile_stats': {'accepted': 727, 'duplicate': 0, 'conflict_new_wins': 0, 'conflict_existing_wins': 0, 'errors': 0}}"
